b_F_K5_04	b_F_K5_05	b_F_K5_06	nb_F_K5_07	nb_F_K5_08	nb_F_K5_09
TRINITY_DN187711_c0_g3	-1.03443925857356	-1.03443925857356	-1.03443925857356	1.48937357915366	0.69978260764722	0.914161588919796
TRINITY_DN198390_c1_g1	-0.776494489679143	-0.776494489679143	-0.776494489679143	0.790564136620052	0.96378549299374	0.575133839423639
TRINITY_DN164824_c2_g1	-1.08359688333114	-1.08359688333114	-1.08359688333114	0.795324596418715	1.15059783962268	1.30486821395202
TRINITY_DN162434_c2_g3	-1.04699667474834	-1.04699667474834	-1.04699667474834	0.969856174259001	0.787310028214572	1.38382382177144
TRINITY_DN165171_c15_g1	-0.904865498461988	-0.894969462319488	-0.929185177657401	-0.00622621342122864	2.17900470234726	0.556241649512841
TRINITY_DN186318_c5_g2	1.19632151003184	1.50920995002492	0.639141373752842	-1.1148909446032	-1.1148909446032	-1.1148909446032
TRINITY_DN174534_c10_g5	-0.84236064827537	-0.84236064827537	-0.84236064827537	0.807944380644658	1.36678074956322	0.35235681461823
TRINITY_DN190056_c2_g2	-0.889696066137857	-0.889696066137857	-0.889696066137857	1.83822438842534	0.491587306365926	0.339276503622304
TRINITY_DN179252_c3_g1	-0.825831572808887	-0.825831572808887	-0.825831572808887	0.729984582252752	1.45631165597261	0.291198480201299
TRINITY_DN158051_c7_g1	-1.45309320147595	-1.25648615738113	-1.45309320147595	1.09829976655151	1.48801310947049	1.57635968431102
TRINITY_DN163812_c3_g1	1.28854814567986	1.12261242795114	0.416613184468151	-0.915095931211796	-0.956338913443678	-0.956338913443678
TRINITY_DN190732_c5_g2	-1.86269948237682	-1.86269948237682	-1.86269948237682	2.08888831243793	1.20373419113915	2.29547594355338
TRINITY_DN168897_c3_g1	-1.16158239193661	-0.874257006771945	-1.30619177264071	0.633209068657085	1.42372753685146	1.28509456584071
TRINITY_DN183927_c1_g2	-4.32342795459747	-3.40985510970634	-4.84548370375844	4.99382403023646	4.33797055415651	3.24697218366928
TRINITY_DN185614_c0_g1	-0.924660202650903	-0.924660202650903	-0.924660202650903	1.23011740912991	0.971805413538523	0.572057785284274
TRINITY_DN176293_c6_g1	-1.22323503438935	-1.15697359212062	-1.22323503438935	0.818708795580822	2.1692197813747	0.615515083943793
TRINITY_DN188919_c3_g1	0.391459449391348	1.21996792635494	1.23844384951584	-0.949957075087374	-0.949957075087374	-0.949957075087374
TRINITY_DN169644_c7_g2	-0.826297500617543	-0.826297500617543	-0.826297500617543	0.65551807300032	0.98064516396022	0.842729264892088
TRINITY_DN172044_c9_g1	0.913995222038269	2.10977700109172	0.782440750364123	-1.06071632615699	-1.30544991524784	-1.44004673208928
TRINITY_DN196640_c4_g1	-1.34054915002675	-1.34054915002675	-1.34054915002675	1.82359349882155	0.79465734940392	1.40339660185479
TRINITY_DN183330_c2_g1	-1.91476841812731	-1.91476841812731	-1.91476841812731	2.33710213057463	1.46817545144168	1.93902767236561
TRINITY_DN196876_c1_g1	1.41751073801756	0.934485512320802	0.695952455149601	-1.01598290182932	-1.01598290182932	-1.01598290182932
